postcode,binInfo_bin_type,collection_time
3000,landfill,Every Thursday
3000,recyclable,Every Thursday
3001,landfill,Every Thursday
3001,recyclable,Every Thursday
3002,landfill,Every Friday
3002,recyclable,Every Friday
3003,landfill,Every Thursday
3003,recyclable,Every Thursday
3004,landfill,Every Thursday
3004,recyclable,Every Thursday
3006,landfill,Every Tuesday or Monday
3006,recyclable,Every Tuesday or Monday
3008,landfill,Every Thursday
3008,recyclable,Every Thursday
3013,landfill,Every Wednesday
3013,organics,Every Second Wednesday
3013,recyclable,Every Second Wednesday
3015,landfill,Every Thursday
3015,organics,Every Second Thursday
3015,recyclable,Every Second Thursday
3016,landfill,Every Thursday
3016,organics,Every Second Thursday
3016,recyclable,Every Second Thursday
3018,landfill,Every Friday
3018,organics,Every Second Friday
3018,recyclable,Every Second Friday
3028,landfill,Every Monday
3028,organics,Every Second Monday
3028,recyclable,Every Second Monday
3030,landfill,Every Monday
3030,organics,Every Second Monday
3030,recyclable,Every Second Monday
3031,landfill,Every Monday
3031,recyclable,Every Monday
3032,landfill,Every Monday
3032,recyclable,Every Monday
3051,landfill,Every Monday
3051,recyclable,Every Monday
3052,landfill,Every Monday
3052,recyclable,Every Monday
3053,landfill,Every Friday
3053,recyclable,Every Friday
3054,landfill,Every Friday
3054,recyclable,Every Friday
3060,landfill,Every Tuesday
3061,landfill,Every Monday
3061,organics,Every Second Monday
3061,recyclable,Every Second Monday
3064,landfill,Every Monday or Thursday
3064,organics,Every Second Monday
3064,recyclable,Every Second Monday or Thursday
3065,landfill,Every Friday
3065,recyclable,Every Friday
3073,landfill,Every Tuesday
3074,landfill,Every Monday
3074,organics,Every Second Monday
3074,recyclable,Every Second Monday
3075,landfill,Every Monday
3075,organics,Every Second Monday
3075,recyclable,Every Second Monday
3076,landfill,Every Monday
3081,landfill,Every Monday
3081,recyclable,Every Second Monday
3082,landfill,Every Friday
3082,organics,Every Second Friday
3082,recyclable,Every Second Friday
3083,landfill,Every Wednesday
3083,organics,Every Second Wednesday
3083,recyclable,Every Second Wednesday
3088,landfill,Every Wednesday
3088,organics,Every Second Wednesday
3088,recyclable,Every Second Wednesday
3090,landfill,Every Friday
3090,organics,Every Second Friday
3090,recyclable,Every Second Friday
3091,landfill,Every Friday
3091,organics,Every Second Friday
3091,recyclable,Every Second Friday
3099,landfill,Every Wednesday
3099,organics,Every Second Wednesday
3099,recyclable,Every Second Wednesday
3116,landfill,Every Thursday
3136,landfill,Every Thursday
3137,landfill,Every Monday
3138,landfill,Every Wednesday
